Model,MAE,RMSE,MAPE (%)
XGBoost Baseline,335.78131569816236,451.24697253972664,1.0660224788330375
LSTM,245.6550663205093,331.9503127857363,0.7834141996304528
Hybrid (LSTM + XGBoost),241.5831803370835,323.0740220817624,0.7642408707576708
